id,lang,label
s000655c1a02c6d94,Python,1
s000b443fe22c443c,C++,11
s000cdd1461caaa98,C++,9
s000d96d0465345e6,C++,19
s000ef3fa9a9bf48e,C++,48
s0012e0db2c734bfe,C++,12
s00247a3dfe156b57,C++,81
s002dc203fbba023b,Python,18 19
s0035e8255e8c5969,C++,28
s0038d9ddfc198ae9,C++,25
s003ab061f99db0df,Python,78
s004c0f6cbbb9a980,C++,45
s004db6f3f9b563de,Python,8
s0057cd890bc167c8,C++,30
s005cd3106e1f8387,C++,76
s005ff0f088934a20,C++,50
s006464684adc3d24,C++,106
s00646691b20b3a96,C++,8
s006eaa6572b9b14d,C++,44
s0071a39c601fd0d0,C++,5
s007d5e01b9979e5c,C++,24
s0084a3c24666578e,C++,11 13
s008ef13548f27c78,C++,56
s0097cb2419721f1f,C++,8
s0098515e58bfbb57,Python,8
s00a98840d95197d6,C++,41
s00ae354fb980c1bc,C++,13
s00b3e2f46dd71927,Python,3
s00b5f7918fae5bc8,C++,11
s00bee7f66abcfe39,C++,13
s00c49a5f282d7f5a,C++,8
s00d390a6f82ab1a3,C++,79
s00d7686ae816985b,Python,7
s00e0adc1a97e4d89,C++,6
s00e42e15486ceac5,C++,14
s00e63efb29ffc51f,C++,20
s00f31ee30dc117e5,Python,38
s00f91fbff1403e46,C++,21
s01009bf52b21f6e2,Python,5
s010e35225af8eaf1,C++,13
s01105c1ede916a6a,C++,5
s01205937e50980fa,C++,13
s01207c170ce5350c,Python,8
s01223b45086b00fd,Python,6 8 9
s013820f4dff03942,Python,35
s01433b243618c8a5,C++,64
s0143a17ddab1fd2f,Python,4
s0144b48f8892f622,Python,6
s01502552eb2938f3,C++,22
s01531e5439da2bc4,C++,44
s015643ea17fd0263,Python,12
s0167be3441a9620f,C++,50
s016ad7353c2cc4a3,C++,13
s0174d40d5eef9c8b,C++,12
s0183044459bfc5ce,Python,8
s018aaf58f0f50aa2,C++,8
s01952d94fd9bee06,Python,14
s019837f953965ea0,Python,30
s0198f7173849c54a,C++,11
s0199a65b45f97bf7,C++,29
s019c9ba675ceb44c,C++,39
s01a2b4d0a95d0c3b,C++,5
s01a81be85f5a1590,C++,19
s01b30ef3fd97ff37,C++,31
s01bfb2036783089a,C++,36
s01c4255343cc1942,Python,46
s01cc0a1cf744d0a7,Python,9
s01cf684777ed3499,Python,8
s01d06d6fc7d6934e,C++,10
s01d5df798e66de99,Python,14 15
s01f08113c0f9ba6a,Python,6
s01f5fd4988e08cda,C++,59
s01f7df34889f73b4,C++,48
s01fd30c507058853,Python,6
s02043bf4ad778d88,C++,31
s02060c9d897854d8,C++,80
s021648b333deabce,C++,34
s0217b8f47d21c6e6,Python,71
s021c6cad4a7d0e8b,Python,45 46 47
s022102c29729513c,Python,22 24 25
s0223b94fee832cf9,C++,12
s022eca860c8ddbd6,C++,9
s023ce8814b706873,Python,17
