陸上競技大会 

 
陸上競技大会 200M の準決勝 3 組のレースが行われました。それぞれの組に 8 名（計 24 名）の選手が出場します。各組上位 2 位までの選手と、各組の 3 位以下の全選手の中から上位 2 名の計 8 名が決勝に進出します。
 

 
選手番号とタイムを入力とし、決勝進出者 8 名の番号とそのタイムを出力するプログラムを作成してください。
 

 
入力データの1件目から8件目までが1組目、9件目から16件目までが2組目、17件目から24件目までが3組目のデータとします。タイムは、1/100まで計測し、同タイムの選手はいないものとし、棄権は無いものとします。
 
-->

 Input 

 
入力は以下の形式で与えられます。
 

 
 p 1 t 1 
 p 2 t 2 
:
 p 24 t 24 
 

 
1 行目から 8 行目に１組目の選手番号 p i (整数、1 &le; p i &le; 10000) とタイム t i (1/100 まで計測した実数、1 &le; t i &le; 100)、9 行目から 16 行目に２組目の選手番号 p i とタイム t i 、17 行目から 24 行目に３組目の選手番号 p i とタイム t i が与えられます。同じ選手番号の選手、同タイムの選手はいないものとします。
 

 Output 

 
以下の順番で、決勝進出者の選手番号とタイムを空白区切りでそれぞれ１行に出力してください。
 

 
1 組目の 1 位の選手 
1 組目の 2 位の選手 
2 組目の 1 位の選手 
2 組目の 2 位の選手 
3 組目の 1 位の選手 
3 組目の 2 位の選手 
各組で 3 位以下の選手の中でタイムが 1 位の選手 
各組で 3 位以下の選手の中でタイムが 2 位の選手 
 

 Sample Input 

 
18 25.46
16 26.23
3 23.00
10 24.79
5 22.88
11 23.87
19 23.90
1 25.11
23 23.88
4 23.46
7 24.12
12 22.91
13 21.99
14 22.86
21 23.12
9 24.09
17 22.51
22 23.49
6 23.02
20 22.23
24 21.89
15 24.14
8 23.77
2 23.42
 

 Output for the Sample Input 

 
5 22.88
3 23.00
13 21.99
14 22.86
24 21.89
20 22.23
17 22.51
12 22.91
